ZIP;NAME;TYPE;A0_NAME;A1_NAME;A2_NAME;A3_NAME;A4_NAME;A5_NAME;A6_NAME;A7_NAME;A8_NAME;X_COORDINATE;Y_COORDINATE;SERVICE_HOURS;TEMP_SERVICE_HOURS;TEMP_SERVICE_HOURS_UNTIL;TEMP_SERVICE_HOURS_2;TEMP_SERVICE_HOURS_2_UNTIL;comment_est;comment_eng;comment_rus;comment_lav;comment_lit;MODIFIED
75595;Saku postipunkt;1;EE;Harju maakond;Saku vald;Saku alevik;;Teaduse tn;;13;;24.660717;59.296916;"E,K,R 13:00-19:00 T,N,L,P SULETUD;Ligipääs ratastooliga";;;;;;;;;;2025-04-22T08:15:06.250+03:00
93294;Salme postipunkt;1;EE;Saare maakond;Saaremaa vald;Salme alevik;;Sõrve mnt;;5;;22.251243;58.16352;"E,T,K 09:00-16:00 N 10:00-17:00 R 09:00-14:00 L,P SULETUD;Ligipääs ratastooliga";;;;;;;;;;2025-05-30T16:57:17.867+03:00
19098;Sikupilli postkontor;1;EE;Harju maakond;Tallinn;Lasnamäe linnaosa;;Tartu mnt;;87;;24.784057;59.42641;"E,T,K,N,R 10:00-19:00 L 10:00-15:00 P SULETUD;Ligipääs ratastooliga";;;;;;;;;;2025-04-15T09:35:26.757+03:00
40201;Sillamäe postkontor;1;EE;Ida-Viru maakond;Sillamäe linn;;;Viru pst;;2a;;27.775857;59.392822;"E,T,K,N,R 09:00-18:00 L,P SULETUD;Ligipääs ratastooliga";;;;;;;;;;2025-04-15T09:40:28.337+03:00
71594;Suure-Jaani postipunkt;1;EE;Viljandi maakond;Põhja-Sakala vald;Suure-Jaani linn;;Pärnu tn;;3;;25.465324;58.536368;E,N,R 10:00-16:00 T,K,L,P SULETUD;;;;;;;;;;2025-05-20T22:46:21.397+03:00
76991;Tabasalu postkontor;1;EE;Harju maakond;Harku vald;Tabasalu alevik;;Klooga mnt;;10b;;24.543648;59.430059;"E,T,K,N,R 10:00-18:00 L,P SULETUD;Ligipääs ratastooliga";;;;;;;;;;2025-04-15T09:41:01.340+03:00
46194;Tamsalu postipunkt;1;EE;Lääne-Viru maakond;Tapa vald;Tamsalu linn;;Raudtee tn;;5;;26.112984;59.160224;"E,T,K,N,R 10:00-17:00 L,P SULETUD;Ligipääs ratastooliga";;;;;;;;;;2025-02-25T15:48:22.480+02:00
86025;Treimani postipunkt (Kalbuse kauplus);1;EE;Pärnu maakond;Häädemeeste vald;Treimani küla;;;Kalbuse;;;24.387963;57.921157;E,T,N,R 10:00-13:00 K 15:00-18:00 L,P SULETUD;;;;;;;;;;2025-04-15T09:50:42.783+03:00
68695;Tõrva postipunkt;1;EE;Valga maakond;Tõrva vald;Tõrva linn;;Valga tn;;3;;25.923206;58.002218;T,N 09:00-15:00 K 12:00-18:00 E,R,L,P SULETUD;;;;;;;;;;2025-05-20T22:45:29.103+03:00
68299;Valga postkontor;1;EE;Valga maakond;Valga vald;Valga linn;;Raja tn;;5;;26.027205;57.776897;"E,T,K,N,R 09:00-18:00 L,P SULETUD;Ligipääs ratastooliga";;;;;;;;;;2025-04-15T09:41:34.127+03:00
66194;Varstu postipunkt;1;EE;Võru maakond;Rõuge vald;Varstu alevik;;Kooli tn;;1;;26.665934;57.647455;E 09:00-16:00 N 09:00-17:00 T,K,R,L,P SULETUD;;;;;;;;;;2025-04-15T09:55:54.503+03:00
74094;Viimsi postkontor;1;EE;Harju maakond;Viimsi vald;Haabneeme alevik;;Paadi tee;;3;;24.826322;59.503662;"E,T,K,N,R 10:00-19:00 L,P SULETUD;Ligipääs ratastooliga";;;;;;;;;;2025-04-15T09:42:07.200+03:00
71098;Viljandi postkontor;1;EE;Viljandi maakond;Viljandi linn;;;Tallinna tn;;41;;25.59739;58.369826;"E,T,K,N,R 09:00-18:00 L,P SULETUD;Ligipääs ratastooliga";;;;;;;;;;2025-04-15T09:42:41.020+03:00
46295;Väike-Maarja postipunkt;1;EE;Lääne-Viru maakond;Väike-Maarja vald;Väike-Maarja alevik;;Lõuna tn;;10;;26.254916;59.126062;"T 11:00-17:00 K,R 11:00-14:00 E,N,L,P SULETUD;Ligipääs ratastooliga";;;;;;;;;;2025-05-02T11:13:29.163+03:00
87794;Vändra postipunkt;1;EE;Pärnu maakond;Põhja-Pärnumaa vald;Vändra alev;;Pärnu-Paide mnt;;4;;25.032231;58.653107;E,K,R 09:00-13:00 T,N 14:00-18:00 L,P SULETUD;;;;;;;;;;2025-06-03T15:15:56.253+03:00
64094;Värska postipunkt;1;EE;Võru maakond;Setomaa vald;Värska alevik;;Pikk tn;;12;;27.633784;57.957979;"E,T,K,N,R 08:30-12:00, 12:30-16:30 L,P SULETUD;Ligipääs ratastooliga";;;;;;;;;;2025-05-21T16:30:26.003+03:00
70695;Võhma postipunkt;1;EE;Viljandi maakond;Põhja-Sakala vald;Võhma linn;;Kauba tn;;3a;;25.559617;58.627376;"E,T,K,N,R 10:00-17:00 L 10:00-16:00 P SULETUD;Ligipääs ratastooliga";;;;;;;;;;2025-04-15T10:07:52.990+03:00
65601;Võru postkontor;1;EE;Võru maakond;Võru linn;;;Kooli tn;;6;;27.008646;57.845881;"E,T,K,N,R 10:00-18:00 L,P SULETUD;Ligipääs ratastooliga";;;;;;;;;;2025-04-15T09:43:19.957+03:00
67194;Õru postipunkt (Epre kauplus);1;EE;Valga maakond;Valga vald;Õruste küla;;;Epre;;;26.179376;57.922594;E,T,K,N,R 09:00-13:00 L,P SULETUD;;;;;;;;;;2025-05-05T11:48:31.163+03:00
