ZIP;NAME;TYPE;A0_NAME;A1_NAME;A2_NAME;A3_NAME;A4_NAME;A5_NAME;A6_NAME;A7_NAME;A8_NAME;X_COORDINATE;Y_COORDINATE;SERVICE_HOURS;TEMP_SERVICE_HOURS;TEMP_SERVICE_HOURS_UNTIL;TEMP_SERVICE_HOURS_2;TEMP_SERVICE_HOURS_2_UNTIL;comment_est;comment_eng;comment_rus;comment_lav;comment_lit;MODIFIED
96048;Põltsamaa Selveri pakiautomaat;0;EE;Jõgeva maakond;Põltsamaa vald;Põltsamaa linn;;Jõgeva mnt;;1a;;25.980273;58.65412;;;;;;;;;;;2025-01-17T11:25:38.367+02:00
96045;Põlva Coop Konsumi pakiautomaat;0;EE;Põlva maakond;Põlva vald;Põlva linn;;Aasa tn;;1;;27.046219;58.051766;;;;;;;;;;;2025-01-17T11:24:54.957+02:00
96201;Põlva Meie Ostumarketi pakiautomaat;0;EE;Põlva maakond;Põlva vald;Põlva linn;;Lao tn;;14;;27.092855;58.066805;;;;;;;;;;;2025-01-08T11:47:04.940+02:00
96073;Põlva Selveri pakiautomaat;0;EE;Põlva maakond;Põlva vald;Põlva linn;;Jaama tn;;12;;27.071194;58.063698;;;;;;;;;;;2025-01-17T11:14:09.497+02:00
96286;Pürksi pakiautomaat;0;EE;Lääne maakond;Lääne-Nigula vald;Pürksi küla / Birkas;Pürksi keskus;;;9;;23.52103;59.006707;;;;;;;;;;;2025-05-05T13:58:21.927+03:00
96105;Raasiku Coop Konsumi pakiautomaat;0;EE;Harju maakond;Raasiku vald;Raasiku alevik;;Tallinna mnt;;19;;25.182569;59.369367;;;;;;;;;;;2025-03-28T15:02:01.290+02:00
96268;Rakke pakiautomaat;0;EE;Lääne-Viru maakond;Väike-Maarja vald;Rakke alevik;;F. R. Faehlmanni tee;;15;;26.241625;58.987978;;;;;;;;;;;2025-01-08T12:12:16.120+02:00
96397;Rakvere Lidl pakiautomaat;0;EE;Lääne-Viru maakond;Rakvere vald;Ussimäe küla;;Ussimäe tn;;1;;26.374306;59.349133;;;;;;;;;;;2025-01-10T11:06:18.353+02:00
96232;Rakvere Lilleoru kaupluse pakiautomaat;0;EE;Lääne-Viru maakond;Rakvere linn;;;Tartu tn;;55;;26.364531;59.327658;;;;;;;;;;;2025-01-08T11:59:46.390+02:00
96078;Rakvere Põhjakeskuse pakiautomaat;0;EE;Lääne-Viru maakond;Rakvere vald;Tõrremäe küla;;Haljala tee;;4;;26.339553;59.364081;;;;;;;;;;;2025-01-17T11:15:41.993+02:00
96031;Rakvere Turutare pakiautomaat;0;EE;Lääne-Viru maakond;Rakvere linn;;;Laada tn;;18;;26.364466;59.347187;;;;;;;;;;;2025-01-17T11:19:37.753+02:00
96167;Rakvere Vaala Keskuse pakiautomaat;0;EE;Lääne-Viru maakond;Rakvere linn;;;Lõõtspilli tn;;2;;26.383605;59.354905;;;;;;;;;;;2025-01-08T11:33:38.517+02:00
96365;Ramsi Coop kaupluse pakiautomaat;0;EE;Viljandi maakond;Viljandi vald;Ramsi alevik;;Keskuse tee;;1;;25.540729;58.30755;;;;;;;;;;;2025-01-09T15:39:54.827+02:00
96396;Randvere Meie kaupluse pakiautomaat;0;EE;Harju maakond;Viimsi vald;Randvere küla;;G. H. Schüdlöffeli tee;;2;;24.903993;59.504003;;;;;;;;;;;2025-01-09T16:29:52.547+02:00
96359;Rannu Coop Kaupluse pakiautomaat;0;EE;Tartu maakond;Elva vald;Rannu alevik;;Elva tee;;10;;26.221778;58.23996;;;;;;;;;;;2025-01-09T15:31:30.067+02:00
96220;Rapla Coop Konsumi pakiautomaat;0;EE;Rapla maakond;Rapla vald;Rapla linn;;Tallinna mnt;;16;;24.793521;59.005301;;;;;;;;;;;2025-01-08T11:55:19.703+02:00
96043;Rapla Maxima X pakiautomaat;0;EE;Rapla maakond;Rapla vald;Rapla linn;;Tallinna mnt;;50a;;24.790997;58.998328;;;;;;;;;;;2025-01-17T11:22:47.980+02:00
96196;Risti Coop kaupluse pakiautomaat;0;EE;Lääne maakond;Lääne-Nigula vald;Risti alevik;;Haapsalu mnt;;1;;24.056862;58.998289;;;;;;;;;;;2025-01-08T11:45:53.523+02:00
96251;Roela pakiautomaat;0;EE;Lääne-Viru maakond;Vinni vald;Roela alevik;;Sinilille tn;;1a;;26.586551;59.165147;;;;;;;;;;;2025-01-08T12:06:53.693+02:00
96282;Roiu Coop kaupluse pakiautomaat;0;EE;Tartu maakond;Kastre vald;Roiu alevik;;Männi tn;;9;;26.867232;58.301326;;;;;;;;;;;2025-01-08T10:52:57.307+02:00
96387;Roo Prisma pakiautomaat;0;EE;Harju maakond;Harku vald;Harkujärve küla;;Roo tee;;1;;24.616285;59.407169;;;;;;;Accepts same-day deliveries from Tallinn;;;;2025-05-26T10:24:28.173+03:00
96273;Roobuka pakiautomaat;0;EE;Harju maakond;Saku vald;Roobuka küla;;Roheluse tee;;1;;24.671532;59.221431;;;;;;;;;;;2025-01-08T12:13:22.290+02:00
93999;Ruhnu pakiväljastus;0;EE;Saare maakond;Ruhnu vald;Ruhnu küla;;;Raamatukogu;;;23.24556;57.802455;;;;;;;;;;;2025-05-05T14:00:03.423+03:00
96186;Räpina Coop Konsumi pakiautomaat;0;EE;Põlva maakond;Räpina vald;Räpina linn;;Kooli tn;;14a;;27.45961;58.094948;;;;;;;;;;;2025-01-08T11:42:46.790+02:00
96095;Räpina Maxima X pakiautomaat;0;EE;Põlva maakond;Räpina vald;Räpina linn;;Pargi tn;;1;;27.463667;58.097504;;;;;;;;;;;2025-01-17T11:40:59.060+02:00
96151;Rõngu Coop Konsumi pakiautomaat;0;EE;Tartu maakond;Elva vald;Rõngu alevik;;Tartu mnt;;2;;26.248779;58.143987;;;;;;;;;;;2025-01-08T10:57:29.137+02:00
96255;Rõuge Bussijaama pakiautomaat;0;EE;Võru maakond;Rõuge vald;Rõuge alevik;;Võru mnt;;14;;26.916892;57.730195;;;;;;;;;;;2025-05-05T13:28:31.807+03:00
96199;Saaremaa Kaubamaja pakiautomaat;0;EE;Saare maakond;Saaremaa vald;Kuressaare linn;;Raekoja tn;;1;;22.485396;58.251815;;;;;;;;;;;2025-01-08T11:46:36.177+02:00
96050;Saku Coop Ehituskeskuse pakiautomaat;0;EE;Harju maakond;Saku vald;Saku alevik;;Tallinna mnt;;6;;24.669534;59.302034;;;;;;;;;;;2025-01-17T13:10:29.293+02:00
96301;Saku Selveri pakiautomaat;0;EE;Harju maakond;Saku vald;Saku alevik;;Üksnurme tee;;2;;24.656249;59.293669;;;;;;;;;;;2025-01-08T15:18:58.750+02:00
96318;Salme Coop Konsumi pakiautomaat;0;EE;Saare maakond;Saaremaa vald;Salme alevik;;Sõrve mnt;;2;;22.250273;58.164439;;;;;;;;;;;2025-01-08T16:29:03.693+02:00
96351;Sangaste pakiautomaat;0;EE;Valga maakond;Otepää vald;Sangaste alevik;;Valga mnt;;11;;26.32729;57.924917;;;;;;;;;;;2025-01-09T15:28:53.530+02:00
96184;Saue Grossi pakiautomaat;0;EE;Harju maakond;Saue vald;Saue linn;;Pärnasalu põik;;1b;;24.556448;59.322081;;;;;;;;;;;2025-01-08T11:40:52.090+02:00
96055;Saue Kaubakeskuse pakiautomaat;0;EE;Harju maakond;Saue vald;Saue linn;;Ridva tn;;15;;24.552558;59.324906;;;;;;;;;;;2025-01-17T13:11:46.467+02:00
96148;Sauga Coop Konsumi pakiautomaat;0;EE;Pärnu maakond;Tori vald;Sauga alevik;;Kuldnoka tn;;1;;24.497332;58.429088;;;;;;;;;;;2025-01-08T10:55:38.340+02:00
96368;Saverna pakiautomaat;0;EE;Põlva maakond;Kanepi vald;Saverna küla;;Kooli tee;;5;;26.737364;58.070708;;;;;;;;;;;2025-01-09T16:16:19.740+02:00
96054;Sillamäe Coop Maksimarketi pakiautomaat;0;EE;Ida-Viru maakond;Sillamäe linn;;;Viru pst;;5a;;27.777892;59.391665;;;;;;;;;;;2025-01-17T13:11:32.010+02:00
96222;Sillamäe Viru pst Maxima X pakiautomaat;0;EE;Ida-Viru maakond;Sillamäe linn;;;Viru pst;;35;;27.790681;59.3912;;;;;;;;;;;2024-07-08T10:31:41.393+03:00
96285;Simuna pakiautomaat;0;EE;Lääne-Viru maakond;Väike-Maarja vald;Simuna alevik;;Lai tn;;5;;26.403833;59.045717;;;;;;;;;;;2025-01-08T10:54:03.013+02:00
96316;Sindi Maxima X pakiautomaat;0;EE;Pärnu maakond;Tori vald;Sindi linn;;Pärnu mnt;;57;;24.659602;58.407817;;;;;;;;;;;2025-01-08T16:24:18.467+02:00
96383;Soinaste Kaasiku Coop Konsumi pakiautomaat;0;EE;Tartu maakond;Kambja vald;Soinaste küla;;Kaasiku tn;;35;;26.727525;58.330143;;;;;;;;;;;2025-01-30T15:06:15.180+02:00
96231;Suure-Jaani Tervisekoja pakiautomaat;0;EE;Viljandi maakond;Põhja-Sakala vald;Suure-Jaani linn;;Pärnu tn;;4;;25.465458;58.535702;;;;;;;;;;;2025-01-08T11:59:25.900+02:00
96346;Tabasalu Keskuse pakiautomaat;0;EE;Harju maakond;Harku vald;Tabasalu alevik;;Kallaste tn;;7;;24.549959;59.428985;;;;;;;;;;;2025-05-22T11:42:57.573+03:00
96071;Tabasalu Rimi pakiautomaat;0;EE;Harju maakond;Harku vald;Tabasalu alevik;;Klooga mnt;;10b;;24.543398;59.429912;;;;;;;;;;;2025-05-22T11:54:37.267+03:00
96212;Tabivere Saadjärve Coop kaupluse pakiautomaat;0;EE;Tartu maakond;Tartu vald;Tabivere alevik;;Kalda tn;;1;;26.599997;58.551919;;;;;;;;;;;2025-01-08T11:53:23.100+02:00
96262;Taebla Bussijaama pakiautomaat;0;EE;Lääne maakond;Lääne-Nigula vald;Taebla alevik;;Haapsalu mnt;;9;;23.743381;58.956549;;;;;;;;;;;2025-01-08T12:10:18.910+02:00
96003;Tallinna Akadeemia Coop Konsumi pakiautomaat;0;EE;Harju maakond;Tallinn;Mustamäe linnaosa;;Akadeemia tee;;35;;24.655613;59.40337;;;;;;;Accepts same-day deliveries from Tallinn;;;;2025-05-26T04:00:14.263+03:00
96133;Tallinna Arsenali Keskuse pakiautomaat;0;EE;Harju maakond;Tallinn;Põhja-Tallinna linnaosa;;Erika tn;;14;;24.718214;59.451157;;;;;;;Accepts same-day deliveries from Tallinn;;;;2025-05-26T10:27:49.807+03:00
96001;Tallinna Balti Jaama pakiautomaat;0;EE;Harju maakond;Tallinn;Põhja-Tallinna linnaosa;;Toompuiestee;;37;;24.736474;59.439807;;;;;;;Accepts same-day deliveries from Tallinn;;;;2025-02-06T08:14:58.980+02:00
96258;Tallinna Balti Jaama turu pakiautomaat;0;EE;Harju maakond;Tallinn;Põhja-Tallinna linnaosa;;Kopli tn;;1;;24.734591;59.440884;;;;;;;Accepts same-day deliveries from Tallinn;;;;2025-05-26T10:30:28.750+03:00
96219;Tallinna Coca-Cola Plaza pakiautomaat;0;EE;Harju maakond;Tallinn;Kesklinna linnaosa;;Hobujaama tn;;5;;24.757091;59.438374;;;;;;;Accepts same-day deliveries from Tallinn;;;;2025-01-08T11:55:08.997+02:00
96153;Tallinna Donte Ärikeskuse pakiautomaat;0;EE;Harju maakond;Tallinn;Kesklinna linnaosa;;Pärnu mnt;;142;;24.736499;59.410291;;;;;;;Accepts same-day deliveries from Tallinn;;;;2025-05-26T10:32:08.567+03:00
96216;Tallinna Ehitajate tee Grossi pakiautomaat;0;EE;Harju maakond;Tallinn;Mustamäe linnaosa;;Ehitajate tee;;41;;24.668363;59.401747;;;;;;;Accepts same-day deliveries from Tallinn;;;;2025-05-22T12:00:03.577+03:00
96303;Tallinna Ehitajate tee Maxima XXX pakiautomaat;0;EE;Harju maakond;Tallinn;Haabersti linnaosa;;Ehitajate tee;;148;;24.651429;59.420604;;;;;;;Accepts same-day deliveries from Tallinn;;;;2025-05-26T10:34:24.763+03:00
96111;Tallinna Haabersti Rimi pakiautomaat;0;EE;Harju maakond;Tallinn;Haabersti linnaosa;;Haabersti tn;;1;;24.644102;59.424517;;;;;;;Accepts same-day deliveries from Tallinn;;;;2025-01-17T13:38:19.537+02:00
96202;Tallinna Idakeskuse pakiautomaat;0;EE;Harju maakond;Tallinn;Lasnamäe linnaosa;;Punane tn;;16;;24.823852;59.432084;;;;;;;Accepts same-day deliveries from Tallinn;;;;2025-01-08T11:50:20.897+02:00
96400;Tallinna Jannseni Maxima X pakiautomaat;0;EE;Harju maakond;Tallinn;Nõmme linnaosa;;Vabaduse pst;;128;;24.665049;59.373317;;;;;;;Accepts same-day deliveries from Tallinn;;;;2025-05-22T12:05:31.600+03:00
96195;Tallinna Juhkentali Rimi pakiautomaat;0;EE;Harju maakond;Tallinn;Kesklinna linnaosa;;Juhkentali tn;;35;;24.77037;59.427539;;;;;;;Accepts same-day deliveries from Tallinn;;;;2025-01-08T11:45:24.420+02:00
96016;Tallinna Järve Keskuse pakiautomaat;0;EE;Harju maakond;Tallinn;Nõmme linnaosa;;Pärnu mnt;;238;;24.723341;59.39352;;;;;;;Accepts same-day deliveries from Tallinn;;;;2025-05-22T12:07:35.043+03:00
96138;Tallinna Järveotsa Grossi pakiautomaat;0;EE;Harju maakond;Tallinn;Haabersti linnaosa;;Järveotsa tee;;35b;;24.640639;59.407278;;;;;;;Accepts same-day deliveries from Tallinn;;;;2025-05-22T12:09:26.023+03:00
96018;Tallinna Kadaka Selveri pakiautomaat;0;EE;Harju maakond;Tallinn;Mustamäe linnaosa;;Kadaka tee;;56a;;24.666952;59.412235;;;;;;;Accepts same-day deliveries from Tallinn;;;;2025-05-26T10:38:34.730+03:00
96015;Tallinna Kakumäe Selveri pakiautomaat;0;EE;Harju maakond;Tallinn;Haabersti linnaosa;;Rannamõisa tee;;6;;24.626459;59.428507;;;;;;;Accepts same-day deliveries from Tallinn;;;;2025-01-17T11:16:50.417+02:00
96237;Tallinna Kari Grossipoe pakiautomaat;0;EE;Harju maakond;Tallinn;Põhja-Tallinna linnaosa;;Kari tn;;3;;24.697798;59.447618;;;;;;;Accepts same-day deliveries from Tallinn;;;;2025-05-26T11:37:30.200+03:00
96190;Tallinna Kivila Grossi pakiautomaat;0;EE;Harju maakond;Tallinn;Lasnamäe linnaosa;;Kivila tn;;26;;24.872824;59.44372;;;;;;;Accepts same-day deliveries from Tallinn;;;;2025-01-08T11:44:02.790+02:00
